farms_id,ponds_id,cycles_id,province,regency,timezone,length,width,deep,total_seed,started_at,finished_at,area,padat_tebar,cycle_day_count,count_feed,sum_feed_weight,count_fasting,sum_size_per_kg,sum_weight_biomassa,sum_biomassa,avg_morning_temperature,avg_evening_temperature,avg_morning_do,avg_evening_do,avg_morning_salinity,avg_evening_salinity,avg_morning_pH,avg_evening_pH,avg_transparency,avg_ammonia,avg_nitrate,avg_nitrite,avg_alkalinity,avg_hardness,avg_calcium,avg_magnesium,avg_carbonate,avg_bicarbonate,avg_tom,avg_total_plankton,ADG,SR,FCR
10806,38502,18233,,,+07:00,60.0,24.0,1.0,150000,2023-02-20 00:00:00.000000 UTC,2023-04-26 00:00:00.000000 UTC,1440.0,104.16666666666667,65,138,534.5,9.0,190.0,135.0,25650.0,28.895,31.814250000000005,4.3946969696969695,5.784,16.801951219512198,16.478125000000002,8.1840000000000011,8.3623076923076951,,,,,,,,,,,,,0.12545454545454546,17.1,3.9592592592592593
8326,36656,20294,JAWA TENGAH,CILACAP,+07:00,48.5,37.3,1.1,70000,2023-03-04 00:00:00.000000 UTC,2023-05-09 00:00:00.000000 UTC,1800.0,38.888888888888886,66,208,528.39999999999986,10.0,103.0,215.0,22145.0,29.461282051282055,30.86296296296296,6.8666666666666663,6.14,5.5558139534883715,6.017391304347826,7.8634883720930233,7.9313043478260861,35.053571428571423,,,0.73333333333333339,148.21428571428572,475.71428571428572,,,,,,,0.244,31.635714285714283,2.4576744186046504
8332,31333,14824,JAWA TENGAH,CILACAP,+07:00,3.5,2.0,0.9,2543,2022-03-20 00:00:00.000000 UTC,2022-07-04 00:00:00.000000 UTC,7.0,363.28571428571428,106,396,17.325000000000088,,100.0,0.59,59.0,26.955666666666659,28.334022988505758,5.9373333333333358,5.61653465346535,15.411904761904761,15.388118811881192,8.40495238095238,8.3430555555555568,,,,,,,,,,,,,-0.072767857142857134,2.3200943767204092,29.364406779661167
8409,30349,15006,,,+07:00,20.0,20.0,1.2,60000,2022-04-20 00:00:00.000000 UTC,2022-07-04 00:00:00.000000 UTC,400.0,150.0,75,78,1260.75,,84.0,641.0,53844.0,27.4138,30.275805555555554,2.1602357142857143,5.66925,11.458399999999997,9.9465277777777779,8.0812285714285679,7.21,35.753205128211533,0.043333333333333335,,3.0,357.0,,,,,,,,0.17189952904238617,89.74,1.9668486739469579
8530,34491,23362,JAWA TENGAH,CILACAP,+07:00,33.0,32.0,1.8,430056,2023-03-11 00:00:00.000000 UTC,2023-05-28 00:00:00.000000 UTC,1056.0,407.25,78,278,1671.1000000000004,4.0,302.6,245.92000000000002,12896.82,,,,,,,,6.6,,,,,,,,,,,,,0.46967741935483864,2.9988699146157707,6.7952992843201052
10672,31247,19534,,,+07:00,32.0,32.0,1.2,144900,2022-03-30 00:00:00.000000 UTC,2022-06-18 00:00:00.000000 UTC,1024.0,141.50390625,80,394,2036.0,2.0,58.0,835.0,48430.0,28.202531645569618,,7.2,,24.721518987341767,,7.8136708860759487,,45.316455696202524,,,,,,,,,,,,0.36539285714285719,33.423050379572118,2.4383233532934132
5108,32200,17885,JAWA TIMUR,GRESIK,+07:00,30.0,20.0,1.0,110000,2022-09-17 00:00:00.000000 UTC,2022-12-20 00:00:00.000000 UTC,600.0,183.33333333333334,94,483,2282.2999999999956,4.0,41.5,1120.0,46480.0,27.46522580645162,29.668181818181825,4.6284838709677434,5.3406097560975621,26.211827956989247,25.80306818181818,7.842612903225807,8.1666666666666661,,,,,,,,,,,,,0.36835034013605439,42.254545454545458,2.0377678571428532
5992,32250,19671,JAWA TENGAH,PEMALANG,+07:00,30.0,50.0,1.0,135000,2022-09-19 00:00:00.000000 UTC,2022-11-22 00:00:00.000000 UTC,1500.0,90.0,64,195,1203.0,1.0,74.0,400.0,29600.0,28.866766129032271,30.687508771929821,5.655927419354839,6.83138596491228,15.614814516129034,15.724710526315794,7.932838709677422,8.261000000000001,,,,,,,,,,,,,0.42857142857142855,21.925925925925927,3.0075
8405,31447,18740,,,+07:00,53.14,39.86,1.2,169702,2022-05-15 00:00:00.000000 UTC,2022-07-23 00:00:00.000000 UTC,1000.0,169.702,69,291,382.5,5.0,167.6,98.66,16535.415999999997,27.410256410256412,29.662337662337663,,,30.1875,30.358490566037741,8.1312500000000014,8.361038961038961,58.22784810126582,,,0.036,117.77777777777777,5456.1111111111113,398.22222222222223,1229.2222222222222,6.4444444444444446,111.33333333333333,94.777777777777771,1744444.4444444445,0.11619047619047618,9.7437955946305852,3.8769511453476588
9653,21965,20667,SULAWESI SELATAN,PINRANG,+08:00,57.74,43.3,1.5,312500,2021-04-07 00:00:00.000000 UTC,2021-07-29 00:00:00.000000 UTC,2500.0,125.0,113,445,6749.7999999999956,,86.64,2467.23,106880.40359999999,30.450458715596326,29.150891089108907,5.50302752293578,5.3436633663366324,24.428571428571427,,7.9071171171171173,8.4522522522522561,36.459090909090904,70.0,0.2,0.081875,129.05882352941177,3792.6976470588233,191.47058823529412,806.94117647058829,10.52941176470588,118.5294117647059,90.666,221315.78947368418,0.25995421245421241,34.201729152,2.7357806122655752
2410,36814,19686,JAWA TENGAH,CILACAP,+07:00,32.0,32.0,1.3,312047,2022-11-15 00:00:00.000000 UTC,2023-02-09 00:00:00.000000 UTC,803.84,388.195412022293,86,455,3926.8860000000013,0.0,527.4,808.08,62995.65,28.583448453608245,28.987559139784945,4.1355312500000005,4.6792473118279529,30.46146276595745,30.845714285714283,7.4190360824742267,7.91,40.812500000000021,0.023857142857142855,40.357142857142861,0.17857142857142855,115.07692307692308,5542.8571428571422,401.42857142857144,1601.7857142857144,0.0,115.07692307692308,124.28571428571429,726554.16351351351,0.36461904761904768,20.187872339743691,4.8595262845262859
8408,40876,21023,,,+07:00,222.5,40.0,1.5,985776,2023-01-01 00:00:00.000000 UTC,2023-04-02 00:00:00.000000 UTC,8900.0,110.76134831460674,91,380,11692.0,,88.0,8555.0,752840.0,29.393269230769228,31.747572815533974,4.0141414141414149,7.59090909090909,28.737864077669904,32.0,7.778217821782178,,45.899038461538474,0.015189873417721517,0.0,0.042857142857142858,113.93617021276594,,,,,,,,0.19428571428571423,76.370291019460808,1.3666861484511981
