ponds_id,cycles_id,length,width,deep,total_seed,started_at,finished_at,area,padat_tebar,cycle_day_count,count_feed,sum_feed_weight,count_fasting,sum_size_per_kg,sum_weight_biomassa,sum_biomassa,avg_morning_temperature,avg_evening_temperature,avg_morning_do,avg_evening_do,avg_morning_salinity,avg_evening_salinity,avg_morning_pH,avg_evening_pH,avg_transparency,avg_ammonia,avg_nitrate,avg_nitrite,avg_alkalinity,avg_hardness,avg_calcium,avg_magnesium,avg_carbonate,avg_bicarbonate,avg_tom,avg_total_plankton,ADG,SR,FCR
38365,18238,40.0,40.0,1.2,240000,2023-02-26 00:00:00.000000 UTC,2023-05-13 00:00:00.000000 UTC,1600.0,150.0,76,333,3264.7000000000012,4.0,388.54,1277.91,150380.1018,27.715725225229718,30.098803030303035,6.7598513513513518,7.7998863636363636,12.233243243243246,12.180469696969697,7.7558738738783779,8.2792380952380942,38.614864864864863,7.5,,1.2,91.083333333333329,2750.0,195.55555555555554,686.36363636363637,2400.0,64.0,37.0,1350750.0,0.13731150793650793,62.658375750000005,2.5547182508940387
31256,17532,49.5,38.0,1.2,270900,2022-03-30 00:00:00.000000 UTC,2022-06-10 00:00:00.000000 UTC,1881.0,144.01913875598086,72,360,3100.0,2.0,86.0,991.2,85243.2,28.408450704225359,,4.8,,24.901408450704228,,7.7976056338028163,,46.901408450704231,,,,,,,,,,,,0.29946428571428574,31.466666666666665,3.1275221953188055
33291,19808,30.0,25.0,1.0,125000,2022-09-15 00:00:00.000000 UTC,2022-11-05 00:00:00.000000 UTC,750.0,166.66666666666666,51,181,568.69999999999948,1.0,226.0,475.45,107451.7,26.987000000000005,29.653604166666675,5.0305098039215688,5.6707083333333337,33.655960784313727,33.896895833333332,7.9417254901960783,8.3430833333333343,,,,0.11466666666666667,148.80666666666667,6902.0,1229.0,5673.0,32.32,116.48666666666666,70.783333333333331,1325000.0,0.11857142857142858,85.96136,1.1961299821221989
34709,18877,70.71,70.71,1.5,300000,2022-09-30 00:00:00.000000 UTC,2023-01-15 00:00:00.000000 UTC,4999.9,60.001200024000482,107,459,8340.0,,28.2,4866.0,137221.19999999998,28.584999999971433,30.947507788112155,4.2499206349333312,5.3979157395046728,28.769230769230766,,7.8549783549740262,8.02337552743038,39.940594059405939,0.0,,0.3894375,223.90909090909091,,,,,,,,0.28059523809523806,45.740399999999994,1.7139334155363748
34716,20615,70.71,70.71,1.5,300000,2022-10-28 00:00:00.000000 UTC,2023-02-22 00:00:00.000000 UTC,4999.9,60.001200024000482,117,558,8673.0,,22.1,6064.0,134014.4,29.066681034482759,30.117948717948714,4.5459913793103457,5.1260042734615414,36.75,20.35,7.760057471267241,8.0184472934529936,45.465929203539815,,,0.61266666666666658,185.55555555555554,,,,,,,,0.2024649859943978,44.671466666666667,1.4302440633245384
37065,20834,40.0,40.0,1.2,160000,2022-12-04 00:00:00.000000 UTC,2023-04-14 00:00:00.000000 UTC,1600.0,100.0,131,821,4343.8249999999871,9.0,41.58,851.2,35392.896,27.178541353383466,28.789029850746257,5.0306992481203006,5.5200746268656715,16.486466165413542,16.413641791044782,8.0357443609022532,8.4276515151515135,40.620300751879718,0.58653846153846156,,1.0916666666666668,125.67857142857143,,256.0,601.923076923077,,,,749605.26315789472,0.24455782312925167,22.12056,5.1031778665413379
18355,13308,58.88,44.16,1.6,484631,2021-11-04 00:00:00.000000 UTC,2022-01-01 00:00:00.000000 UTC,2600.0,186.39653846153846,58,231,6892.0,,69.87,5875.57,410526.0759,27.89473684210526,28.947368421052637,5.1191379310344818,4.752807017543863,,25.157894736842106,7.6796551724137911,8.0151724137931026,,0.0313,2.93,0.082550000000000012,137.2,5295.0000000000009,1105.0000000000002,4190.0,4.0,133.2,58.4,0.0,0.39357142857142857,84.709000435382791,1.1729925777413936
31465,15772,55.92,41.94,1.5,365310,2022-11-16 00:00:00.000000 UTC,2023-02-04 00:00:00.000000 UTC,2345.28,155.7639173147769,80,241,5374.0,9.0,195.99,2595.44,169560.09519999998,26.53045454545455,28.652277777777776,6.3285,3.888,23.688721518987347,27.766,7.7203164556962021,8.2338961038961038,35.796052631578924,,,0.95972727272727276,107.63636363636364,4481.818181818182,429.09090909090907,984.81818181818176,3.6363636363636362,104.0,100.72727272727272,1657250.0,0.3058035714285714,46.415399304700109,2.0705545109885031
34731,18142,70.71,70.71,1.5,200000,2023-01-25 00:00:00.000000 UTC,2023-04-05 00:00:00.000000 UTC,4999.9,40.000800016000326,70,289,2936.0,,13.8,2071.0,28579.800000000003,29.273177083328118,30.293333333323083,4.7606770833125,5.5691794871692313,18.5,,8.1924242424090874,8.5348484848636357,50.4245283018868,,,0.19288888888888892,176.0,,,,,,,,0.20087301587301587,14.289900000000003,1.417672621921777
12568,18367,54.16,40.62,1.5,235600,2022-05-16 00:00:00.000000 UTC,2022-08-03 00:00:00.000000 UTC,2200.0,107.09090909090909,79,79,4564.0,1.0,82.96,1743.2,144615.872,27.012000000000004,29.654,,,,,8.0420000000000016,8.421428571428569,56.399999999999984,,,,,,,,,,,,0.2392857142857143,61.381949066213927,2.6181734740706744
20901,16880,58.0,64.0,1.5,449240,2022-07-20 00:00:00.000000 UTC,2022-10-25 00:00:00.000000 UTC,3708.15,121.1493601930882,97,97,8370.0,0.0,139.16,4908.1900000000005,341511.86020000005,27.311538461538465,,5.52602564102564,,23.397959183673471,,7.71581632653061,,43.494897959183675,0.03655,,1.6714285714285715,113.46153846153845,806.6,311.92307692307696,894.58333333333337,20.0,110.38461538461539,93.428571428571445,495535.71428571432,0.19798941798941797,76.019913676431315,1.7053129565073886
38725,20614,60.0,35.2,2.0,206332,2022-12-06 00:00:00.000000 UTC,2023-04-11 00:00:00.000000 UTC,2112.0,97.695075757575751,126,348,7561.3610000000017,12.0,33.8,2506.1,84706.18,,,,,,,8.0468292682926812,8.3964999999999979,,,,,,,,,,,,,0.30597402597402595,41.053341217067633,3.0171824747615825
12537,12868,54.16,40.62,1.2,207000,2022-05-08 00:00:00.000000 UTC,2022-08-12 00:00:00.000000 UTC,2200.0,94.0909090909091,96,169,4636.0,1.0,63.53,1667.36,105927.3808,26.824705882352941,29.515294117647063,,,,,7.9588235294117649,8.4880000000000031,53.206250000062504,,,,,,,,,,,,0.21522321428571431,51.1726477294686,2.7804433355724019
32213,17832,95.0,28.0,1.5,200000,2022-07-09 00:00:00.000000 UTC,2022-09-13 00:00:00.000000 UTC,2660.0,75.187969924812023,66,65,986.0,1.0,140.0,70.0,9800.0,27.3367131147541,29.3429140625,5.4935901639344245,6.4373828125000019,12.653912568311476,12.207343749999998,8.1029590163934415,8.2966521739130421,,0.172,,0.093,192.0,2500.0,600.0,1900.0,24.0,168.0,67.0,470000.0,0.14472222222222222,4.9,14.085714285714285
33523,15812,45.0,40.0,2.0,412711,2022-10-10 00:00:00.000000 UTC,2023-01-30 00:00:00.000000 UTC,1799.89,229.29790153842734,112,511,10170.0,,172.2,5666.34,217606.442,27.52985074626865,29.670149253731335,5.2338709677419368,4.7546774193548371,31.179104477611947,31.119402985074625,7.8899999999999979,8.1437313432835818,61.015625000000014,0.0,,0.175,91.200000000000017,6446.6666666666661,752.0,1109.7533333333336,1.4666666666666666,89.733333333333334,87.643000000000015,39.258064516129039,0.23142328042328045,52.726106646054994,1.7948093478329927
34711,18671,70.71,70.71,1.5,300000,2023-01-07 00:00:00.000000 UTC,2023-05-04 00:00:00.000000 UTC,4999.9,60.001200024000482,117,554,8502.0,,24.8,5798.8,143810.24000000002,28.618020833330355,29.735988200584078,4.6278571428928581,5.7262442056106213,26.714285714285715,17.45,7.3402272727272724,7.6744318182272737,34.93655913978494,,,0.904923076923077,165.0,,,,,,,,0.21139682539682539,47.936746666666672,1.4661654135338344
36117,16398,55.0,55.0,1.2,436320,2022-08-14 00:00:00.000000 UTC,2022-12-03 00:00:00.000000 UTC,3025.0,144.23801652892561,111,112,12950.0,0.0,38.0,6513.34,247506.92,27.189189189189186,26.0,,,36.2972972972973,37.5,7.7986486486486468,8.3500000000000014,46.361842105263179,,,,,,,,,,,,0.30553084099136735,56.726008434176755,1.9882272382525707
7364,22813,55.5,55.5,1.25,374400,2022-09-10 00:00:00.000000 UTC,2023-01-13 00:00:00.000000 UTC,3080.25,121.54857560262965,125,397,8318.0,1.0,68.3,3147.7,214987.90999999997,28.521505376344084,30.403614457831324,4.4530107526881739,5.529629629629631,26.092982456140351,25.931858407079648,7.7486842105263127,8.2334020618556689,30.532608695652172,0.59999999999999987,0.71,0.31666666666666665,156.72727272727272,5020.6414444444445,291.36363636363637,999.27272727272714,,,,609743.42105263169,0.39883116883116881,57.421984508547,2.64256441211043
32188,18149,34.64,25.98,1.0,150000,2022-03-29 00:00:00.000000 UTC,2022-07-18 00:00:00.000000 UTC,900.0,166.66666666666666,111,497,2852.0000000000073,0.0,43.0,770.0,33110.0,27.197371428571426,29.408243055555555,5.1823620689655172,5.7360322580645153,22.018828571428575,21.656076388888891,7.6582571428571429,7.6477380952380951,23.333333333333332,,,,,,,,,,,,0.27554151404151406,22.073333333333334,3.7038961038961133
32250,19671,30.0,50.0,1.0,135000,2022-09-19 00:00:00.000000 UTC,2022-11-22 00:00:00.000000 UTC,1500.0,90.0,64,195,1203.0,1.0,74.0,400.0,29600.0,28.866766129032271,30.687508771929821,5.655927419354839,6.83138596491228,15.614814516129034,15.724710526315794,7.932838709677422,8.261000000000001,,,,,,,,,,,,,0.42857142857142855,21.925925925925927,3.0075
32296,19687,59.0,35.0,1.0,100000,2022-05-29 00:00:00.000000 UTC,2022-07-27 00:00:00.000000 UTC,2065.0,48.426150121065376,59,149,413.5,10.0,208.0,74.0,15392.0,27.319525423728813,29.782305084745758,4.4999152542372896,8.4402542372881388,12.387169491525425,10.574101694915255,8.15169491525424,8.1933125000000011,,,0.70000000000000007,0.0,277.33333333333331,,,,2.666666666666667,274.66666666666669,94.213333333333338,7800000.0,0.15833333333333335,15.392,5.5878378378378377
34698,17404,70.71,70.71,1.5,250000,2022-11-19 00:00:00.000000 UTC,2023-01-20 00:00:00.000000 UTC,4999.9,50.001000020000404,62,280,3306.0,,10.7,90.7,970.49,30.604093567245616,30.619396551724144,4.60077380955357,5.9419499178965527,33.0,,,,28.333333333333332,,,0.0955,219.0,,,,,,,,0.28314285714285714,0.388196,36.449834619625136
34717,19316,70.71,70.71,1.5,300000,2022-10-19 00:00:00.000000 UTC,2023-02-14 00:00:00.000000 UTC,4999.9,60.001200024000482,118,576,8379.0,0.0,16.7,4457.0,74431.9,28.62111111109402,29.886652542389825,4.4170085470085452,5.1781015603898277,40.8,,7.7006552706581193,7.9072316384152543,36.448275862068975,0.0,,1.6174444444444445,193.33333333333337,,,,,,,,0.16349206349206349,24.810633333333332,1.8799641014135069
27259,16339,30.0,48.34,1.3,302250,2022-03-10 00:00:00.000000 UTC,2022-06-24 00:00:00.000000 UTC,1450.0,208.44827586206895,106,164,7349.8,,34.5,2797.05,96498.225,28.481132075471692,30.88461538461539,,4.4799999999999995,22.122641509433958,22.124999999999996,8.04339622641509,8.2203883495145611,39.669811320754718,,,0.057499999999999996,263.5,,,,26.0,237.5,156.0,165000.0,0.3125,31.9266253101737,2.6276970379506981
32249,22307,30.0,30.0,1.0,70000,2022-05-27 00:00:00.000000 UTC,2022-07-25 00:00:00.000000 UTC,900.0,77.777777777777771,59,110,450.09999999999991,0.0,160.0,250.0,40000.0,27.523250000000004,29.551482758620693,5.1383965517241368,7.7834655172413765,19.667051724137931,19.24322413793103,7.9905258620689636,8.12375,,0.042249999999999996,,0.0385,154.0,3725.0,750.0,2975.0,17.0,137.0,69.25,454000.0,0.19351851851851848,57.142857142857139,1.8003999999999996
32192,17626,35.59,28.1,1.0,100000,2022-09-15 00:00:00.000000 UTC,2022-11-05 00:00:00.000000 UTC,1000.0,100.0,51,167,395.50000000000006,1.0,138.0,262.85,36273.3,27.115039215686277,30.003062500000002,5.0170392156862738,5.6238750000000008,35.624058823529431,35.806937499999989,7.8922156862745094,8.17,,,,0.076,140.72666666666666,7659.333333333333,1565.6666666666667,6094.0,30.3,130.62666666666667,77.103333333333325,725000.0,0.33428571428571424,36.273300000000006,1.5046604527296938
34702,17628,70.71,70.71,1.5,300000,2022-09-24 00:00:00.000000 UTC,2023-01-16 00:00:00.000000 UTC,4999.9,60.001200024000482,114,470,8560.0,,20.8,5499.0,114379.2,28.397002923938608,29.719152046745609,4.4770467836491212,5.7876879699473678,33.278571428571432,31.4,7.9012896825476195,7.9764705882352915,44.551886792452827,0.0,,1.0506875,204.00000000000003,,,,,,,,0.26648351648351648,38.1264,1.5566466630296418
36826,20151,32.0,32.0,1.3,300222,2022-11-15 00:00:00.000000 UTC,2023-02-10 00:00:00.000000 UTC,706.5,424.94267515923565,87,445,3770.6899999999978,0.0,1477.0,987.24000000000012,80011.150000000009,28.292696629213491,28.685113636363631,4.34361797752809,4.7238636363636362,29.703827586206906,32.0,7.4225842696629192,7.8974999999999991,30.822368421052637,0.027,24.909090909090907,0.0,103.63636363636364,5295.454545454545,394.54545454545456,1618.7272727272727,0.0,103.63636363636364,132.0,1044652.8583333332,0.24719387755102043,26.650661843569097,3.8194258741542049
34690,20665,70.71,70.71,1.5,350000,2022-12-07 00:00:00.000000 UTC,2023-03-17 00:00:00.000000 UTC,4999.9,70.00140002800056,100,519,8589.0,,18.5,6119.0,113201.5,29.541771929821046,30.834479166625005,4.4422807017999988,5.5769097221458335,33.699999999999996,,7.9680303030363628,8.37222222221053,40.851190476190482,,0.23,0.83042857142857152,207.33333333333334,,,,,,,,0.20634920634920634,32.343285714285713,1.4036607288772676
20917,12857,53.0,52.0,1.5,296720,2022-07-19 00:00:00.000000 UTC,2022-10-23 00:00:00.000000 UTC,2756.0,107.6632801161103,96,95,5840.0,,101.12,3113.66,157426.6496,27.262337662337664,,5.4403896103896141,,23.739583333333339,,7.708958333333336,,44.989473684210523,0.034999999999999996,,1.1375,122.30769230769229,831.66666666666674,333.33333333333337,910.90909090909088,22.5,118.84615384615384,98.999999999999986,442307.69230769231,0.28621031746031744,53.055624696683743,1.8756061997777536
36099,17743,55.0,55.0,1.2,458480,2022-08-16 00:00:00.000000 UTC,2022-12-04 00:00:00.000000 UTC,3025.0,151.56363636363636,110,111,14214.0,0.0,35.0,8310.42,290864.7,27.728813559322038,27.0,,,35.440677966101696,37.0,7.7271186440678,7.7,45.02542372881355,,,,,,,,,,,,0.33523809523809522,63.4410879427674,1.7103828687358762
38592,16008,30.0,18.0,1.0,100000,2023-02-11 00:00:00.000000 UTC,2023-04-12 00:00:00.000000 UTC,540.0,185.18518518518519,60,208,955.60000000000025,2.0,120.0,630.0,75600.0,29.371928571428576,31.214357142857143,4.6692857142857136,5.1192380952380958,14.114738095238094,13.740833333333335,7.9233333333333347,8.0628181818181819,,,,,,,,,,,,,0.17373015873015873,75.6,1.5168253968253973
3,9096,36.2,46.4,1.1,192000,2022-12-15 00:00:00.000000 UTC,2023-03-15 00:00:00.000000 UTC,1680.0,114.28571428571429,90,423,2053.400000000001,2.0,253.0,906.65999999999985,40693.72,28.105713483146069,30.013426136363645,5.0857260273972589,5.9285833333333313,16.151595505617973,15.884426136363633,8.0455393258427,8.5301866666666673,47.873563218390814,,,0.046307692307692307,135.07692307692307,2904.3846153846157,226.69230769230771,626.76923076923072,11.083333333333334,125.61538461538461,62.410769230769233,30.0,0.30892857142857139,21.194645833333333,2.2647960646769478
32233,7616,30.0,30.0,1.6,100000,2022-06-24 00:00:00.000000 UTC,2022-09-15 00:00:00.000000 UTC,900.0,111.11111111111111,83,318,1416.5,2.0,54.0,500.0,27000.0,27.403035714285721,28.809357142857149,4.83275595238095,6.36067857142857,14.231720238095237,14.044035714285716,7.8852380952380932,8.1710666666666665,1.2,,,,,,,,,,,,0.29,27.0,2.833
18350,19315,45.31,33.99,1.6,293340,2021-11-04 00:00:00.000000 UTC,2022-01-05 00:00:00.000000 UTC,1540.0,190.48051948051949,62,240,4681.0,,69.95,3287.01,229926.3495,27.999999999999996,29.222222222222225,5.1643750000000006,4.7596825396825384,,25.396825396825392,7.6653846153846175,8.01171875,,0.030500000000000006,2.93,0.19535,142.8,5535.0000000000018,1145.0000000000002,4390.0,4.2,138.6,58.75,0.0,0.36928571428571433,78.3822013704234,1.4240905868859539
32306,15758,44.71,33.55,1.7,175000,2022-04-15 00:00:00.000000 UTC,2022-07-22 00:00:00.000000 UTC,1575.0,111.11111111111111,98,299,2361.0,2.0,121.0,385.5,20145.0,28.030736842105249,29.582277027027033,5.7070714285714281,6.9084590163934436,8.0700066666666661,7.803695945945945,7.6281578947368391,8.7247777777777777,,0.016,,0.053,98.5,1464.0,506.5,1214.0,4.0,96.5,39.5,727500.0,0.4693017700501253,11.511428571428571,6.1245136186770424
36293,16052,65.0,62.0,1.0,340200,2022-10-14 00:00:00.000000 UTC,2023-02-02 00:00:00.000000 UTC,4030.0,84.416873449131515,111,492,6729.5,6.0,168.0,3400.5,186433.80000000002,27.859756097560968,30.092261904761912,5.3670731707317065,5.7023529411764713,24.444444444444443,23.2,7.7742857142857158,8.127272727272727,41.611111111111128,,,,,,,,,,,,0.21779761904761905,54.801234567901233,1.9789736803411262
